"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2019","11,466.62","11,475.82","11,480.37","11,420.21","","-0.08%"
"09/23/2019","11,475.82","11,441.98","11,497.93","11,434.01","","0.30%"
"09/20/2019","11,441.98","11,536.29","11,536.29","11,441.29","","-0.82%"
"09/19/2019","11,536.29","11,551.23","11,551.46","11,497.63","","-0.15%"
"09/18/2019","11,553.51","11,600.44","11,600.44","11,551.75","","-0.42%"
"09/17/2019","11,602.27","11,629.91","11,629.91","11,563.24","","-0.24%"
"09/16/2019","11,629.91","11,595.15","11,629.91","11,544.73","","0.24%"
"09/13/2019","11,601.68","11,571.34","11,609.31","11,543.76","","0.26%"
"09/12/2019","11,571.34","11,582.75","11,584.37","11,564.26","","-0.10%"
"09/11/2019","11,582.75","11,607.75","11,608.13","11,564.91","","-0.22%"
"09/10/2019","11,608.20","11,629.15","11,643.56","11,604.58","","-0.18%"
"09/09/2019","11,629.15","11,592.69","11,635.93","11,580.75","","0.31%"
"09/06/2019","11,592.69","11,662.66","11,663.50","11,591.53","","-0.60%"
"09/05/2019","11,662.66","11,665.43","11,674.09","11,648.06","","-0.02%"
"09/04/2019","11,665.43","11,707.49","11,713.10","11,665.28","","-0.36%"
"09/03/2019","11,707.49","11,728.67","11,730.26","11,684.05","","-0.18%"
"09/02/2019","11,728.67","11,710.94","11,738.51","11,704.80","","0.15%"
"08/30/2019","11,710.94","11,779.44","11,780.11","11,710.94","","-0.58%"
"08/29/2019","11,779.44","11,759.51","11,779.44","11,712.60","","0.17%"
"08/28/2019","11,759.51","11,796.14","11,796.26","11,753.57","","-0.31%"
"08/27/2019","11,796.14","11,630.77","11,796.14","11,619.37","","1.42%"
"08/26/2019","11,630.77","11,610.09","11,630.77","11,595.99","","0.18%"
"08/23/2019","11,610.09","11,562.40","11,611.96","11,549.46","","0.41%"
"08/22/2019","11,562.40","11,552.33","11,562.40","11,526.31","","0.09%"
"08/19/2019","11,552.33","11,616.71","11,616.71","11,546.29","","-0.57%"
"08/16/2019","11,618.02","11,609.54","11,618.02","11,564.64","","0.07%"
"08/15/2019","11,609.54","11,565.20","11,609.54","11,548.01","","0.38%"
"08/09/2019","11,565.20","11,552.46","11,565.20","11,530.86","","0.11%"
"08/08/2019","11,552.46","11,548.08","11,566.69","11,537.59","","0.04%"
"08/07/2019","11,548.08","11,589.79","11,589.79","11,529.68","","-0.36%"
"08/06/2019","11,589.79","11,590.75","11,590.75","11,543.45","","-0.01%"
"08/05/2019","11,590.75","11,611.55","11,611.55","11,590.75","","-0.18%"
"08/02/2019","11,611.55","11,589.65","11,612.98","11,559.27","","0.19%"
"08/01/2019","11,589.65","11,616.49","11,617.06","11,569.51","","-0.23%"
"07/31/2019","11,616.49","11,574.23","11,616.49","11,538.04","","0.37%"
"07/29/2019","11,574.23","11,563.55","11,586.69","11,500.63","","0.09%"
"07/26/2019","11,563.98","11,517.68","11,565.68","11,492.58","","0.40%"
"07/25/2019","11,517.68","11,476.52","11,517.68","11,475.61","","0.36%"
"07/24/2019","11,476.52","11,471.66","11,493.84","11,451.08","","0.04%"
"07/23/2019","11,471.81","11,425.31","11,471.81","11,391.75","","0.41%"
"07/22/2019","11,425.31","11,481.99","11,481.99","11,416.75","","-0.49%"
"07/19/2019","11,482.12","11,415.17","11,483.61","11,391.65","","0.54%"
"07/18/2019","11,420.46","11,507.38","11,507.38","11,388.31","","-0.78%"
"07/17/2019","11,510.62","11,369.84","11,520.13","11,369.84","","1.23%"
"07/16/2019","11,370.67","11,278.21","11,370.67","11,277.27","","0.72%"
